t,mode,link_ok,erpm_left,erpm_right,motor_current,gyro_z,compass_heading,est_x,est_y,est_heading,gt_x,gt_y,gt_heading
0.0,RECORDING,1,1735.21,1738.28,13.864,0.00085,0.04379,0.04,0.0,0.00087,0.0396,0.0,0.0
0.02,RECORDING,1,1735.38,1740.68,14.254,0.01437,0.06912,0.0801,0.0001,0.00247,0.0783,0.0,0.0
0.04,RECORDING,1,1737.81,1736.98,13.0,0.01255,0.06863,0.1201,0.0003,0.00406,0.1168,0.0,0.0
0.06,RECORDING,1,1738.23,1729.47,12.954,-0.0049,0.04893,0.16,0.0005,0.00487,0.1555,0.0,0.0
0.08,RECORDING,1,1737.46,1736.05,14.313,-0.00242,0.07058,0.2,0.0007,0.00609,0.1947,0.0,0.0
0.1,RECORDING,1,1737.81,1733.59,15.031,0.00957,0.09158,0.24,0.0011,0.00788,0.2332,0.0,0.0
0.12,RECORDING,1,1733.75,1733.28,13.794,0.00294,0.07471,0.28,0.0014,0.00925,0.2725,0.0,0.0
0.14,RECORDING,1,1737.23,1734.45,13.426,-0.00121,0.08483,0.3199,0.0018,0.01074,0.3128,0.0,0.0
0.16,RECORDING,1,1733.0,1737.21,14.256,-0.0109,0.06512,0.3599,0.0023,0.01157,0.3517,0.0,0.0
0.18,RECORDING,1,1741.46,1728.18,13.807,0.00294,0.04579,0.3999,0.0028,0.0123,0.3905,0.0,0.0
0.2,RECORDING,1,1738.23,1735.99,13.121,0.01228,0.07243,0.4399,0.0034,0.01375,0.4294,0.0,0.0
0.22,RECORDING,1,1740.02,1742.0,14.217,0.00519,0.03799,0.48,0.0039,0.01432,0.4687,0.0,0.0
0.24,RECORDING,1,1738.7,1733.79,13.728,-0.00865,0.04243,0.52,0.0045,0.01471,0.508,0.0,0.0
0.26,RECORDING,1,1734.11,1741.39,12.781,-0.01058,0.0623,0.56,0.0051,0.01547,0.5471,0.0,0.0
0.28,RECORDING,1,1742.01,1738.55,12.86,-0.02118,0.06502,0.6001,0.0058,0.01607,0.5861,0.0,0.0
0.3,RECORDING,1,1733.29,1731.76,14.586,0.01502,0.06878,0.64,0.0065,0.01737,0.6254,0.0,0.0
0.32,RECORDING,1,1737.22,1737.97,14.956,0.01019,0.07768,0.6801,0.0072,0.0187,0.6653,0.0,0.0
0.34,RECORDING,1,1738.43,1729.96,14.769,0.01355,0.07705,0.72,0.008,0.02007,0.7041,0.0,0.0
0.36,RECORDING,1,1728.34,1733.7,14.505,-0.01411,0.06159,0.7599,0.0088,0.02059,0.744,0.0,0.0
0.38,RECORDING,1,1740.31,1730.99,14.966,0.00952,0.06434,0.7998,0.0097,0.02159,0.7838,0.0,0.0
0.4,RECORDING,1,1737.54,1738.84,14.072,0.01546,0.05009,0.8399,0.0106,0.02245,0.8224,0.0,0.0
0.42,RECORDING,1,1734.58,1740.4,14.016,-0.0048,0.082,0.8799,0.0115,0.02352,0.861,0.0,0.0
0.44,RECORDING,1,1742.1,1734.46,13.172,0.00265,0.05629,0.9199,0.0125,0.02423,0.9008,0.0,0.0
0.46,RECORDING,1,1735.04,1741.85,13.384,0.01661,0.03486,0.96,0.0135,0.02477,0.9398,0.0,0.0
0.48,RECORDING,1,1733.09,1738.76,14.677,0.01259,0.07295,1.0,0.0145,0.02593,0.9789,0.0,0.0
0.5,RECORDING,1,1736.81,1736.85,14.345,0.00224,0.0701,1.0399,0.0156,0.02682,1.0184,0.0,0.0
0.52,RECORDING,1,1738.53,1736.24,14.458,0.00966,0.10528,1.08,0.0168,0.02852,1.0581,0.0,0.0
0.54,RECORDING,1,1737.54,1734.53,13.776,0.00387,0.08047,1.1199,0.0179,0.02961,1.0974,0.0,0.0
0.56,RECORDING,1,1734.89,1737.78,15.102,-0.02165,0.04548,1.1599,0.0191,0.02948,1.1375,0.0,0.0
0.58,RECORDING,1,1737.21,1737.83,14.143,-0.00031,0.07675,1.1999,0.0203,0.0304,1.1772,0.0,0.0
0.6,RECORDING,1,1737.36,1734.15,15.458,0.00755,0.05848,1.2399,0.0216,0.03106,1.2171,0.0,0.0
0.62,RECORDING,1,1735.84,1735.33,13.962,-0.02328,0.05309,1.2799,0.0228,0.03103,1.2566,0.0,0.0
0.64,RECORDING,1,1740.27,1731.56,13.96,0.01354,0.07994,1.3198,0.0241,0.03225,1.2961,0.0,0.0
0.66,RECORDING,1,1742.2,1729.43,13.788,0.00059,0.07451,1.3598,0.0254,0.0331,1.3355,0.0,0.0
0.68,RECORDING,1,1740.6,1725.5,14.653,-0.01048,0.0796,1.3997,0.0268,0.03378,1.3748,0.0,0.0
0.7,RECORDING,1,1730.27,1736.94,14.717,0.00251,0.07005,1.4396,0.0282,0.03451,1.4136,0.0,0.0
0.72,RECORDING,1,1739.42,1736.8,13.947,0.01933,0.08373,1.4796,0.0296,0.03585,1.4532,0.0,0.0
0.74,RECORDING,1,1735.06,1747.22,13.312,0.01315,0.05459,1.5197,0.0311,0.03649,1.4924,0.0,0.0
0.76,RECORDING,1,1736.77,1739.06,14.133,0.01039,0.03305,1.5597,0.0325,0.03662,1.5322,0.0,0.0
0.78,RECORDING,1,1730.2,1738.7,13.422,-0.00627,0.031,1.5997,0.034,0.03639,1.5708,0.0,0.0
0.8,RECORDING,1,1741.3,1739.22,14.884,-0.00538,0.067,1.6397,0.0355,0.03686,1.6101,0.0,0.0
0.82,RECORDING,1,1731.67,1739.3,14.954,-0.0049,0.0985,1.6797,0.037,0.03792,1.6495,0.0,0.0
0.84,RECORDING,1,1740.19,1735.52,12.817,0.01807,0.05575,1.7197,0.0385,0.03864,1.6883,0.0,0.0
0.86,RECORDING,1,1733.82,1737.83,14.246,0.01898,0.0437,1.7597,0.0401,0.03911,1.7274,0.0,0.0
0.88,RECORDING,1,1740.78,1742.19,14.871,0.00219,0.05204,1.7998,0.0417,0.0394,1.766,0.0,0.0
0.9,RECORDING,1,1740.31,1736.7,14.075,0.01824,0.05807,1.8398,0.0433,0.04012,1.8046,0.0,0.0
0.92,RECORDING,1,1727.05,1734.69,12.888,0.01219,0.06434,1.8796,0.0449,0.04085,1.8439,0.0,0.0
0.94,RECORDING,1,1733.79,1736.2,14.5,0.00479,0.09178,1.9196,0.0466,0.04192,1.8827,0.0,0.0
0.96,RECORDING,1,1735.99,1740.4,14.895,0.0201,0.05359,1.9596,0.0483,0.04253,1.922,0.0,0.0
0.98,RECORDING,1,1739.76,1728.73,13.35,-0.01563,0.08145,1.9995,0.05,0.043,1.9613,0.0,0.0
1.0,RECORDING,1,1731.31,1736.18,13.885,0.00371,0.05065,2.0394,0.0517,0.04322,2.0005,0.0,0.0
1.02,RECORDING,1,1737.17,1743.4,14.027,0.00931,0.08313,2.0794,0.0535,0.04418,2.0397,0.0,0.0
1.04,RECORDING,1,1735.44,1731.2,13.667,0.01474,0.02858,2.1193,0.0553,0.04416,2.0783,0.0,0.0
1.06,RECORDING,1,1733.84,1740.27,14.476,0.00408,0.08125,2.1593,0.0571,0.04495,2.1175,0.0,0.0
1.08,RECORDING,1,1736.9,1731.52,13.062,-0.00239,0.07723,2.1992,0.0589,0.04556,2.1567,0.0,0.0
1.1,RECORDING,1,1733.97,1732.63,13.537,-0.01132,0.05857,2.2391,0.0607,0.0456,2.1964,0.0,0.0
1.12,RECORDING,1,1731.52,1737.69,12.584,0.00728,0.0438,2.279,0.0625,0.0457,2.2354,0.0,0.0
1.14,RECORDING,1,1728.47,1739.13,13.835,-0.0183,0.04475,2.3189,0.0643,0.04532,2.2748,0.0,0.0
1.16,RECORDING,1,1737.4,1734.4,14.468,0.01148,0.07843,2.3589,0.0662,0.04618,2.3142,0.0,0.0
1.18,RECORDING,1,1737.54,1741.57,14.396,0.00851,0.0231,2.3989,0.068,0.04591,2.3532,0.0,0.0
1.2,RECORDING,1,1739.82,1741.47,13.822,-0.0007,0.101,2.439,0.0699,0.04698,2.3929,0.0,0.0
1.22,RECORDING,1,1729.2,1738.11,15.454,-0.00528,0.08334,2.4789,0.0718,0.04754,2.4325,0.0,0.0
1.24,RECORDING,1,1743.78,1735.75,14.337,0.01303,0.0464,2.5189,0.0737,0.04777,2.4717,0.0,0.0
1.26,RECORDING,1,1735.88,1737.41,14.495,0.00365,0.06132,2.5589,0.0756,0.04811,2.5108,0.0,0.0
1.28,RECORDING,1,1732.17,1734.8,14.535,0.00502,0.04835,2.5988,0.0776,0.04821,2.5502,0.0,0.0
1.3,RECORDING,1,1732.87,1746.9,14.684,0.01037,0.01422,2.6388,0.0795,0.04777,2.5899,0.0,0.0
1.32,RECORDING,1,1738.72,1738.16,15.01,0.00828,0.0662,2.6788,0.0814,0.04827,2.6291,0.0,0.0
1.34,RECORDING,1,1738.33,1728.46,14.62,0.00725,0.05175,2.7187,0.0833,0.04848,2.6687,0.0,0.0
1.36,RECORDING,1,1741.54,1743.47,13.159,-0.00266,0.06504,2.7588,0.0853,0.04876,2.7081,0.0,0.0
1.38,RECORDING,1,1736.97,1734.64,13.415,0.0252,0.08112,2.7987,0.0873,0.0499,2.7473,0.0,0.0
1.4,RECORDING,1,1731.46,1730.86,15.022,0.01389,0.10402,2.8386,0.0893,0.05119,2.7861,0.0,0.0
1.42,RECORDING,1,1739.48,1732.75,14.156,-0.0176,0.04874,2.8785,0.0914,0.0508,2.8254,0.0,0.0
1.44,RECORDING,1,1736.0,1738.33,13.563,0.00276,0.07021,2.9185,0.0934,0.05124,2.8644,0.0,0.0
1.46,RECORDING,1,1737.74,1738.79,14.125,0.00076,0.07935,2.9585,0.0955,0.0518,2.9036,0.0,0.0
1.48,RECORDING,1,1736.43,1732.93,13.624,0.004,0.05912,2.9984,0.0976,0.05202,2.9426,0.0,0.0
1.5,RECORDING,1,1736.86,1736.23,14.106,0.00266,0.03831,3.0383,0.0996,0.05181,2.9816,0.0,0.0
1.52,RECORDING,1,1737.92,1740.45,14.261,0.00211,0.0731,3.0783,0.1017,0.05226,3.0203,0.0,0.0
1.54,RECORDING,1,1732.37,1728.65,14.036,-0.0053,0.07796,3.1182,0.1038,0.05265,3.0589,0.0,0.0
1.56,RECORDING,1,1731.9,1725.72,13.376,0.01978,0.05256,3.1579,0.1059,0.05304,3.0981,0.0,0.0
1.58,RECORDING,1,1730.76,1733.18,14.313,0.00897,0.06794,3.1978,0.1081,0.0535,3.1373,0.0,0.0
1.6,RECORDING,1,1742.17,1739.06,13.987,0.00997,0.09604,3.2378,0.1103,0.05453,3.1762,0.0,0.0
1.62,RECORDING,1,1740.12,1740.33,13.35,0.00252,0.07467,3.2778,0.1125,0.05498,3.2153,0.0,0.0
1.64,RECORDING,1,1735.05,1740.51,14.358,0.01308,0.06036,3.3178,0.1147,0.05534,3.2542,0.0,0.0
1.66,RECORDING,1,1746.42,1741.2,13.871,0.00491,0.11432,3.3579,0.1169,0.05659,3.2935,0.0,0.0
1.68,RECORDING,1,1734.86,1739.73,14.588,0.00407,0.0423,3.3979,0.1192,0.0564,3.3324,0.0,0.0
1.7,RECORDING,1,1736.99,1737.67,14.678,0.01183,0.06654,3.4379,0.1215,0.05682,3.3721,0.0,0.0
1.72,RECORDING,1,1739.65,1738.4,14.124,0.00455,0.05869,3.4779,0.1238,0.05695,3.4112,0.0,0.0
1.74,RECORDING,1,1738.98,1732.02,13.623,0.00405,0.03202,3.5178,0.126,0.05654,3.4502,0.0,0.0
1.76,RECORDING,1,1734.49,1728.2,13.59,0.00968,0.07248,3.5576,0.1283,0.05704,3.49,0.0,0.0
1.78,RECORDING,1,1736.02,1735.31,13.15,0.02228,0.06949,3.5975,0.1306,0.05773,3.5293,0.0,0.0
1.8,RECORDING,1,1740.61,1732.71,13.889,-0.0142,0.07811,3.6375,0.1329,0.05785,3.5686,0.0,0.0
1.82,RECORDING,1,1739.98,1728.65,13.969,0.0103,0.02762,3.6773,0.1352,0.05746,3.6081,0.0,0.0
1.84,RECORDING,1,1728.93,1731.98,13.622,-0.01003,0.06193,3.7171,0.1375,0.05735,3.6471,0.0,0.0
1.86,RECORDING,1,1737.23,1738.77,14.421,0.01903,0.08818,3.7571,0.1398,0.05832,3.6857,0.0,0.0
1.88,RECORDING,1,1730.99,1734.21,13.364,-0.00677,0.05851,3.797,0.1421,0.05819,3.7245,0.0,0.0
1.9,RECORDING,1,1736.26,1738.2,13.048,-0.00838,0.05825,3.8369,0.1445,0.05803,3.7638,0.0,0.0
1.92,RECORDING,1,1735.44,1734.99,13.962,-0.0036,0.07685,3.8768,0.1468,0.05832,3.8034,0.0,0.0
1.94,RECORDING,1,1737.65,1735.88,13.597,0.00226,0.00675,3.9168,0.1491,0.05735,3.8427,0.0,0.0
1.96,RECORDING,1,1732.31,1736.39,13.098,0.006,0.06189,3.9567,0.1514,0.05756,3.8817,0.0,0.0
1.98,RECORDING,1,1730.73,1735.23,13.812,0.0086,0.07439,3.9965,0.1537,0.05806,3.9203,0.0,0.0
2.0,RECORDING,1,1736.09,1732.83,13.913,0.00335,0.0773,4.0364,0.156,0.0585,3.9597,0.0,0.0
2.02,RECORDING,1,1737.41,1733.35,13.187,0.00027,0.04454,4.0763,0.1584,0.05822,3.9995,0.0,0.0
2.04,RECORDING,1,1731.79,1735.77,13.705,0.00505,0.07214,4.1162,0.1607,0.0586,4.0388,0.0,0.0
2.06,RECORDING,1,1734.58,1745.53,13.807,0.01502,0.06457,4.1562,0.1631,0.05901,4.0781,0.0,0.0
2.08,RECORDING,1,1740.7,1726.73,13.549,0.00647,0.07302,4.1961,0.1654,0.05941,4.1165,0.0,0.0
2.1,RECORDING,1,1745.58,1737.53,14.768,0.01166,0.0854,4.2361,0.1679,0.06013,4.1558,0.0,0.0
2.12,RECORDING,1,1738.28,1735.61,14.305,-0.00678,0.088,4.2761,0.1703,0.06054,4.1949,0.0,0.0
2.14,RECORDING,1,1732.17,1737.23,15.272,0.00177,0.06912,4.316,0.1727,0.06073,4.2341,0.0,0.0
2.16,RECORDING,1,1740.89,1736.34,13.515,0.00658,0.07246,4.356,0.1751,0.06109,4.2729,0.0,0.0
2.18,RECORDING,1,1739.08,1733.15,15.052,0.02067,0.0681,4.3959,0.1776,0.06163,4.3117,0.0,0.0
2.2,RECORDING,1,1737.31,1734.52,14.848,-0.00305,0.0803,4.4358,0.1801,0.06192,4.3501,0.0,0.0
2.22,RECORDING,1,1734.32,1733.46,14.431,0.01734,0.06474,4.4757,0.1826,0.06232,4.3893,0.0,0.0
2.24,RECORDING,1,1733.53,1739.48,13.97,0.00711,0.09332,4.5156,0.1851,0.06306,4.4287,0.0,0.0
2.26,RECORDING,1,1740.76,1734.16,15.37,0.00403,0.08488,4.5555,0.1876,0.06354,4.4683,0.0,0.0
2.28,RECORDING,1,1733.65,1736.06,12.95,0.02187,0.08559,4.5954,0.1902,0.06442,4.5069,0.0,0.0
2.3,RECORDING,1,1731.37,1730.21,13.027,0.01576,0.04943,4.6352,0.1928,0.06442,4.5467,0.0,0.0
2.32,RECORDING,1,1735.99,1734.98,13.927,-0.00688,0.06316,4.6751,0.1953,0.06426,4.5861,0.0,0.0
2.34,RECORDING,1,1730.48,1735.95,14.185,0.00868,0.0592,4.715,0.1979,0.06434,4.6255,0.0,0.0
2.36,RECORDING,1,1732.62,1736.87,13.709,0.01966,0.07705,4.7548,0.2005,0.06497,4.6646,0.0,0.0
2.38,RECORDING,1,1735.77,1734.35,13.578,-0.00537,0.05404,4.7947,0.2031,0.06465,4.704,0.0,0.0
2.4,RECORDING,1,1737.41,1738.3,14.341,0.02499,0.05044,4.8347,0.2057,0.06487,4.7436,0.0,0.0
2.42,RECORDING,1,1736.29,1747.41,12.88,-0.00121,0.06135,4.8747,0.2083,0.06477,4.7828,0.0,0.0
2.44,RECORDING,1,1736.85,1737.87,13.857,0.00766,0.06341,4.9147,0.2109,0.0649,4.8223,0.0,0.0
2.46,RECORDING,1,1739.32,1728.67,13.469,0.00398,0.03997,4.9545,0.2135,0.06448,4.8615,0.0,0.0
2.48,RECORDING,1,1732.06,1738.75,13.61,0.01035,0.07616,4.9944,0.216,0.06491,4.9009,0.0,0.0
2.5,RECORDING,1,1737.46,1738.27,13.937,-0.01009,0.06212,5.0344,0.2186,0.06466,4.9403,0.0,0.0
2.52,RECORDING,1,1738.05,1734.12,13.94,0.01149,0.04517,5.0743,0.2212,0.0645,4.9797,0.0,0.0
2.54,RECORDING,1,1738.8,1743.69,13.667,0.00547,0.05849,5.1143,0.2238,0.06449,5.0195,0.0,0.0
2.56,RECORDING,1,1742.4,1737.5,14.539,-0.0029,0.0651,5.1543,0.2264,0.06445,5.059,0.0,0.0
2.58,RECORDING,1,1736.2,1729.13,14.864,0.01299,0.03191,5.1942,0.2289,0.06409,5.0983,0.0,0.0
2.6,RECORDING,1,1739.21,1735.71,14.269,0.00766,0.03423,5.2341,0.2315,0.06366,5.1384,0.0,0.0
2.62,RECORDING,1,1735.39,1742.21,13.655,-0.00623,0.03426,5.2741,0.234,0.06296,5.1779,0.0,0.0
2.64,RECORDING,1,1731.35,1737.58,15.016,0.00829,0.07248,5.314,0.2365,0.0633,5.217,0.0,0.0
2.66,RECORDING,1,1745.17,1734.16,13.596,0.00928,0.07215,5.354,0.2391,0.06366,5.2563,0.0,0.0
2.68,RECORDING,1,1732.18,1731.56,14.175,0.00647,0.03765,5.3938,0.2416,0.06328,5.2962,0.0,0.0
2.7,RECORDING,1,1735.43,1734.07,14.276,0.00283,0.06252,5.4337,0.2441,0.06332,5.3356,0.0,0.0
2.72,RECORDING,1,1734.82,1740.45,14.834,0.00033,0.08368,5.4736,0.2467,0.06371,5.3752,0.0,0.0
2.74,RECORDING,1,1733.21,1736.52,14.45,0.01914,0.05737,5.5135,0.2492,0.06397,5.4138,0.0,0.0
2.76,RECORDING,1,1735.94,1737.02,13.101,0.00416,0.04544,5.5534,0.2518,0.06367,5.4533,0.0,0.0
2.78,RECORDING,1,1737.72,1731.72,12.814,0.00438,0.06287,5.5933,0.2543,0.06374,5.4923,0.0,0.0
2.8,RECORDING,1,1734.04,1739.79,13.836,-0.00206,0.07182,5.6333,0.2569,0.06386,5.5316,0.0,0.0
2.82,RECORDING,1,1729.96,1733.53,13.988,0.01249,0.05969,5.6731,0.2594,0.06403,5.5711,0.0,0.0
2.84,RECORDING,1,1737.47,1733.61,14.181,0.02063,0.05009,5.713,0.262,0.06416,5.6105,0.0,0.0
2.86,RECORDING,1,1745.7,1733.66,14.01,0.00573,0.08353,5.753,0.2646,0.06465,5.6499,0.0,0.0
2.88,RECORDING,1,1731.29,1727.83,14.364,0.01195,0.07711,5.7927,0.2672,0.06512,5.689,0.0,0.0
2.9,RECORDING,1,1746.76,1737.06,14.152,0.01329,0.07106,5.8328,0.2698,0.0655,5.7282,0.0,0.0
2.92,RECORDING,1,1742.89,1731.28,13.775,-0.03045,0.07823,5.8727,0.2724,0.06515,5.7665,0.0,0.0
2.94,RECORDING,1,1734.75,1739.93,15.292,0.00394,0.06373,5.9127,0.275,0.0652,5.806,0.0,0.0
2.96,RECORDING,1,1734.24,1732.88,13.622,0.01039,0.06203,5.9525,0.2776,0.06535,5.8451,0.0,0.0
2.98,RECORDING,1,1736.5,1735.54,14.549,0.00894,0.06263,5.9924,0.2802,0.06547,5.8846,0.0,0.0
3.0,RECORDING,1,1738.89,1735.63,13.308,0.01855,0.06919,6.0324,0.2829,0.06591,5.9237,0.0,0.0
3.02,RECORDING,1,1732.41,1740.55,14.207,-0.01164,0.09613,6.0723,0.2855,0.06626,5.9638,0.0,0.0
3.04,RECORDING,1,1737.57,1739.8,14.119,0.0025,0.03257,6.1122,0.2882,0.06566,6.0023,0.0,0.0
3.06,RECORDING,1,1740.12,1736.36,13.828,0.00751,0.06379,6.1522,0.2908,0.06577,6.0414,0.0,0.0
3.08,RECORDING,1,1738.94,1734.75,13.978,-0.01739,0.05444,6.1921,0.2934,0.06521,6.0811,0.0,0.0
3.1,RECORDING,1,1738.94,1741.58,13.782,0.00279,0.09369,6.2321,0.296,0.06582,6.1213,0.0,0.0
3.12,RECORDING,1,1734.93,1739.17,15.007,0.0044,0.09207,6.2721,0.2987,0.0664,6.1607,0.0,0.0
3.14,RECORDING,1,1733.39,1737.07,13.954,0.00515,0.08539,6.312,0.3014,0.06687,6.1993,0.0,0.0
3.16,RECORDING,1,1745.8,1733.57,13.655,0.00897,0.04034,6.3519,0.304,0.06652,6.238,0.0,0.0
3.18,RECORDING,1,1738.22,1738.52,13.833,0.00931,0.03126,6.3919,0.3067,0.06601,6.2765,0.0,0.0
3.2,RECORDING,1,1739.28,1730.06,13.582,-0.00156,0.0531,6.4318,0.3093,0.06573,6.3159,0.0,0.0
3.22,RECORDING,1,1739.67,1736.56,13.762,0.00943,0.09355,6.4717,0.3119,0.06646,6.3557,0.0,0.0
3.24,RECORDING,1,1736.26,1737.7,14.744,0.00668,0.04067,6.5117,0.3146,0.0661,6.3947,0.0,0.0
3.26,RECORDING,1,1746.2,1745.07,12.809,0.00361,0.06599,6.5518,0.3172,0.06617,6.4339,0.0,0.0
3.28,RECORDING,1,1740.1,1738.91,13.837,-0.00654,0.06432,6.5918,0.3199,0.06601,6.4735,0.0,0.0
3.3,RECORDING,1,1740.37,1731.88,13.384,0.00375,0.02148,6.6317,0.3225,0.06519,6.5127,0.0,0.0
3.32,RECORDING,1,1735.19,1734.49,14.27,-0.00302,0.04657,6.6716,0.3251,0.06477,6.5517,0.0,0.0
3.34,RECORDING,1,1734.66,1736.04,13.601,0.00412,0.07621,6.7115,0.3277,0.06508,6.5904,0.0,0.0
3.36,RECORDING,1,1740.98,1743.06,13.53,-0.0002,0.01123,6.7515,0.3303,0.06401,6.6297,0.0,0.0
3.38,RECORDING,1,1743.83,1733.34,13.98,0.00923,0.03574,6.7915,0.3328,0.06364,6.669,0.0,0.0
3.4,RECORDING,1,1738.09,1736.13,12.904,0.00692,0.08196,6.8314,0.3354,0.06414,6.7083,0.0,0.0
3.42,RECORDING,1,1728.76,1739.46,14.126,0.00875,0.0724,6.8713,0.3379,0.06448,6.7471,0.0,0.0
3.44,RECORDING,1,1741.45,1735.34,14.524,-0.0001,0.07992,6.9113,0.3405,0.06477,6.7866,0.0,0.0
3.46,RECORDING,1,1732.98,1735.8,15.039,0.00846,0.06451,6.9511,0.3431,0.06493,6.8256,0.0,0.0
3.48,RECORDING,1,1731.66,1733.08,14.116,0.01339,0.07204,6.991,0.3457,0.06533,6.8643,0.0,0.0
3.5,RECORDING,1,1738.33,1736.07,14.811,9e-05,0.05566,7.0309,0.3483,0.06515,6.9031,0.0,0.0
3.52,RECORDING,1,1739.79,1736.49,13.833,-0.00176,0.05711,7.0709,0.3509,0.06496,6.9427,0.0,0.0
3.54,RECORDING,1,1738.73,1737.65,13.274,0.00826,0.06331,7.1108,0.3535,0.06509,6.982,0.0,0.0
3.56,RECORDING,1,1732.24,1739.33,13.832,0.00065,0.07816,7.1507,0.3562,0.06536,7.0214,0.0,0.0
3.58,RECORDING,1,1741.52,1733.48,14.263,-0.00476,0.11047,7.1907,0.3588,0.06613,7.0611,0.0,0.0
3.6,RECORDING,1,1734.26,1741.02,13.612,0.01211,0.10563,7.2306,0.3615,0.06715,7.1006,0.0,0.0
3.62,RECORDING,1,1726.07,1734.5,14.3,0.00307,0.05098,7.2704,0.3641,0.0669,7.1398,0.0,0.0
3.64,RECORDING,1,1744.84,1736.55,13.013,0.01254,0.02413,7.3104,0.3668,0.06628,7.1785,0.0,0.0
3.66,RECORDING,1,1740.84,1733.92,14.087,0.01661,0.06575,7.3503,0.3695,0.0666,7.2171,0.0,0.0
3.68,RECORDING,1,1730.67,1729.45,14.71,0.0114,0.04988,7.3901,0.3721,0.0665,7.256,0.0,0.0
3.7,RECORDING,1,1739.67,1738.22,14.389,-0.01859,0.05871,7.4301,0.3748,0.06599,7.2953,0.0,0.0
3.72,RECORDING,1,1739.84,1739.17,14.529,-0.02057,0.06876,7.4701,0.3774,0.06564,7.3342,0.0,0.0
3.74,RECORDING,1,1738.2,1746.44,13.428,0.00071,0.06114,7.5101,0.38,0.06556,7.3735,0.0,0.0
3.76,RECORDING,1,1739.78,1734.46,14.688,-0.00388,0.07143,7.5501,0.3826,0.0656,7.4125,0.0,0.0
3.78,RECORDING,1,1734.13,1736.87,13.586,-0.01197,0.083,7.59,0.3853,0.06571,7.4512,0.0,0.0
3.8,RECORDING,1,1737.45,1734.0,14.121,0.0139,0.04399,7.6299,0.3879,0.06556,7.4901,0.0,0.0
3.82,RECORDING,1,1735.79,1738.39,14.316,0.00065,0.02228,7.6698,0.3905,0.06474,7.5291,0.0,0.0
3.84,RECORDING,1,1741.21,1737.55,14.008,0.00121,0.0683,7.7098,0.3931,0.06483,7.5679,0.0,0.0
3.86,RECORDING,1,1734.53,1732.14,13.556,-0.00197,0.04876,7.7496,0.3956,0.06447,7.6074,0.0,0.0
3.88,RECORDING,1,1731.6,1738.78,13.214,0.0106,0.03917,7.7895,0.3982,0.06417,7.6471,0.0,0.0
3.9,RECORDING,1,1737.65,1741.73,14.122,-0.00331,0.06451,7.8295,0.4008,0.06411,7.6855,0.0,0.0
3.92,RECORDING,1,1736.83,1729.3,13.635,0.00563,0.05198,7.8694,0.4033,0.06399,7.7242,0.0,0.0
3.94,RECORDING,1,1736.55,1739.17,14.46,0.01306,0.07684,7.9093,0.4059,0.06449,7.7634,0.0,0.0
3.96,RECORDING,1,1735.08,1736.16,13.837,0.00087,0.05867,7.9492,0.4085,0.06439,7.8028,0.0,0.0
3.98,RECORDING,1,1729.34,1734.9,13.986,-0.00574,0.06245,7.9891,0.411,0.06424,7.8417,0.0,0.0
4.0,RECORDING,1,1738.3,1735.58,15.246,-0.02206,0.06448,8.029,0.4136,0.06381,7.8808,0.0,0.0
4.02,RECORDING,1,1728.93,1740.16,15.592,-0.02102,0.07272,8.0689,0.4161,0.06356,7.9193,0.0,0.0
4.04,RECORDING,1,1738.31,1735.03,14.331,-0.01843,0.08153,8.1088,0.4187,0.06355,7.9588,0.0,0.0
4.06,RECORDING,1,1737.72,1736.33,13.647,0.01038,0.05171,8.1487,0.4212,0.06352,7.9983,0.0,0.0
4.08,RECORDING,1,1737.13,1734.2,12.652,0.00369,0.06098,8.1886,0.4238,0.06354,8.0382,0.0,0.0
4.1,RECORDING,1,1739.25,1732.73,13.98,0.01017,0.06582,8.2286,0.4263,0.06378,8.0776,0.0,0.0
4.12,RECORDING,1,1741.21,1744.2,13.455,-0.01521,0.07768,8.2686,0.4289,0.06376,8.1166,0.0,0.0
4.14,RECORDING,1,1742.35,1739.92,14.488,-0.00219,0.05093,8.3087,0.4314,0.06347,8.1562,0.0,0.0
4.16,RECORDING,1,1739.79,1732.59,12.912,-0.00598,0.10795,8.3486,0.434,0.06426,8.1948,0.0,0.0
4.18,RECORDING,1,1743.93,1733.49,13.563,0.00631,0.04604,8.3886,0.4365,0.06402,8.2343,0.0,0.0
4.2,RECORDING,1,1741.48,1735.92,13.348,0.01709,0.0484,8.4285,0.4391,0.06404,8.2728,0.0,0.0
4.22,RECORDING,1,1737.12,1736.19,13.811,0.00725,0.0483,8.4685,0.4417,0.06388,8.3124,0.0,0.0
4.24,RECORDING,1,1728.86,1727.4,13.24,-0.00358,0.05912,8.5082,0.4442,0.06371,8.3518,0.0,0.0
4.26,RECORDING,1,1736.46,1738.46,14.072,-0.00393,0.04915,8.5481,0.4467,0.06335,8.3912,0.0,0.0
4.28,RECORDING,1,1727.76,1735.56,14.291,0.0093,0.06188,8.5879,0.4493,0.0635,8.4303,0.0,0.0
4.3,RECORDING,1,1735.54,1739.98,14.009,0.01138,0.07469,8.6279,0.4518,0.06394,8.4696,0.0,0.0
4.32,RECORDING,1,1737.09,1741.46,13.656,0.00041,0.04529,8.6679,0.4544,0.06358,8.509,0.0,0.0
